1492 - Reconquista - https://www.amazon.com/Reconquest-Crusade-Medieval-Spain-Middle/dp/0812218892
16th - 17th century ( the height of Spanish power) - http://www.barnesandnoble.com/b/books/spanish-literature/16th-17th-century-spanish-literature-golden-age-literary-criticism/_/N-29Z8q8Z161w
18th Century - https://www.amazon.com/Spain-History-Raymond-Carr/dp/0192802364
Peninsular War - https://www.amazon.com/Peninsular-War-History-Charles-Esdaile/dp/0140273700
Spanish Civil War - https://www.amazon.com/Forgotten-Places-Barcelona-Spanish-Civil-ebook/dp/B014Z81YN4/ref=sr_1_5?s=books&ie=UTF8&qid=1477164600&sr=1-5&keywords=spanish+civil+war+books
Spanish Civil War - https://www.amazon.com/Spain-Our-Hearts-Americans-1936-1939-ebook/dp/B011H55NQC/ref=sr_1_1?s=books&ie=UTF8&qid=1477164675&sr=1-1&keywords=spanish+civil+war+books
Spanish Civil War Era - https://www.amazon.com/Spain-Our-Hearts-Americans-1936-1939-ebook/dp/B011H55NQC/ref=sr_1_1?s=books&ie=UTF8&qid=1477164675&sr=1-1&keywords=spanish+civil+war+books 
Spanish Civil War - https://www.amazon.com/Homage-Catalonia-George-Orwell-ebook/dp/B003K16PFU/ref=sr_1_1?s=books&ie=UTF8&qid=1477164837&sr=1-1&keywords=homage+to+catalonia
Spanish Civil War - https://www.amazon.com/Whom-Bell-Tolls-Ernest-Hemingway-ebook/dp/B00FU8PG6U/ref=sr_1_1?s=books&ie=UTF8&qid=1477164899&sr=1-1&keywords=for+whom+the+bell+tolls
Spanish Civil War (my professor) - https://www.amazon.com/Living-Anarchism-Peirats-Anarcho-syndicalist-Movement-ebook/dp/B01912KMKU/ref=sr_1_1?s=books&ie=UTF8&qid=1477164982&sr=1-1
